id,nome,partido,uf,turno1,turno2,votou_sim,url_perfil,url_foto
220692,Dal Barreto,UNIÃO,BA,Sim,Sim,true,https://www.camara.leg.br/deputados/220692,https://www.camara.leg.br/internet/deputado/bandep/220692.jpg
74467,Damião Feliciano,UNIÃO,PB,Sim,Sim,true,https://www.camara.leg.br/deputados/74467,https://www.camara.leg.br/internet/deputado/bandep/74467.jpg
220603,Dani Cunha,UNIÃO,RJ,Sim,Sim,true,https://www.camara.leg.br/deputados/220603,https://www.camara.leg.br/internet/deputado/bandep/220603.jpg
204459,Daniela do Waguinho,UNIÃO,RJ,Sim,Nao,true,https://www.camara.leg.br/deputados/204459,https://www.camara.leg.br/internet/deputado/bandep/204459.jpg
62881,Danilo Forte,UNIÃO,CE,Sim,Sim,true,https://www.camara.leg.br/deputados/62881,https://www.camara.leg.br/internet/deputado/bandep/62881.jpg
204511,David Soares,UNIÃO,SP,Sim,Sim,true,https://www.camara.leg.br/deputados/204511,https://www.camara.leg.br/internet/deputado/bandep/204511.jpg
220659,Dayany Bittencourt,UNIÃO,CE,Sim,Sim,true,https://www.camara.leg.br/deputados/220659,https://www.camara.leg.br/internet/deputado/bandep/220659.jpg
204512,Delegado Marcelo Freitas,UNIÃO,MG,Sim,Sim,true,https://www.camara.leg.br/deputados/204512,https://www.camara.leg.br/internet/deputado/bandep/204512.jpg
220701,Delegado Matheus Laiola,UNIÃO,PR,Sim,Sim,true,https://www.camara.leg.br/deputados/220701,https://www.camara.leg.br/internet/deputado/bandep/220701.jpg
227433,Douglas Viegas,UNIÃO,SP,Nao,Nao,false,https://www.camara.leg.br/deputados/227433,https://www.camara.leg.br/internet/deputado/bandep/227433.jpg
220610,Dr. Fernando Máximo,UNIÃO,RO,Sim,Sim,true,https://www.camara.leg.br/deputados/220610,https://www.camara.leg.br/internet/deputado/bandep/220610.jpg
204412,Dr. Zacharias Calil,UNIÃO,GO,Sim,Sim,true,https://www.camara.leg.br/deputados/204412,https://www.camara.leg.br/internet/deputado/bandep/204412.jpg
220589,Eduardo Velloso,UNIÃO,AC,Sim,Sim,true,https://www.camara.leg.br/deputados/220589,https://www.camara.leg.br/internet/deputado/bandep/220589.jpg
178854,Elmar Nascimento,UNIÃO,BA,Sim,Sim,true,https://www.camara.leg.br/deputados/178854,https://www.camara.leg.br/internet/deputado/bandep/178854.jpg
204368,Fabio Schiochet,UNIÃO,SC,Sim,Sim,true,https://www.camara.leg.br/deputados/204368,https://www.camara.leg.br/internet/deputado/bandep/204368.jpg
220712,Fausto Jr.,UNIÃO,AM,Sim,Sim,true,https://www.camara.leg.br/deputados/220712,https://www.camara.leg.br/internet/deputado/bandep/220712.jpg
220646,Felipe Becari,UNIÃO,SP,Sim,Sim,true,https://www.camara.leg.br/deputados/220646,https://www.camara.leg.br/internet/deputado/bandep/220646.jpg
